iteration,sign_ns,verify_ns,total_ns
0,294693,81823,376545
1,340139,39688,379852
2,351805,36466,388312
3,277214,34711,311952
4,259541,34809,294369
5,271666,34811,306499
6,257346,34649,292011
7,304489,41933,346438
8,271800,35025,306843
9,244413,35163,279592
10,321157,41931,363102
11,288934,34677,323629
12,259272,34693,293981
13,269475,34886,304377
14,282156,34756,316935
15,245626,34793,280435
16,259065,34782,293863
17,268042,34993,303051
18,410806,35851,446674
19,307613,40678,348312
20,286375,38589,324981
21,261525,34937,296477
22,250671,35159,285845
23,277248,35548,312811
24,291840,34552,326409
25,263822,35426,299265
26,228823,34678,263522
27,271556,34961,306533
28,267459,36416,303892
29,268097,35149,303272
30,281227,36221,317464
31,306183,35162,341361
32,239939,34856,274809
33,258569,34845,293429
34,238583,34843,273439
35,256770,34744,291528
36,242864,35257,278137
37,257527,34662,292219
38,252888,34935,287839
39,300755,34646,335417
40,245223,35129,280367
41,172886,34850,207751
42,285110,35393,320518
43,292421,34993,327430
44,252471,34699,287186
45,231003,34446,265464
46,259539,38943,298498
47,246796,35211,282024
48,264737,34562,299314
49,256694,34985,291696
50,261971,34457,296444
51,295500,35469,330983
52,247767,34969,282752
53,254047,34279,288342
54,248493,35499,284007
55,252789,33718,286523
56,274054,33603,307673
57,240370,33887,274272
58,247394,33931,281340
59,241744,33787,275548
60,266999,33802,300817
61,256945,33406,290366
62,249990,33454,283459
63,268033,33533,301583
64,242268,34052,276335
65,247928,33905,281848
66,237471,33725,271213
67,254690,33809,288515
68,237774,33660,271450
69,250123,33563,283701
70,247054,33596,280665
71,280635,33971,314621
72,263030,33890,296937
73,234894,34012,268921
74,287495,34133,321645
75,273593,33349,306957
76,251886,33680,285581
77,252314,36301,288630
78,277532,33942,311491
79,234230,33868,268113
80,249847,33822,283684
81,332648,33479,366142
82,261608,33860,295484
83,337182,33607,370805
84,329159,33879,363053
85,281045,33883,314942
86,268197,33989,302201
87,273259,33683,306958
88,294501,34159,328676
89,247663,34023,281701
90,271097,33814,304925
91,244621,34214,278851
92,259136,33993,293146
93,264607,33847,298469
94,268847,34006,302869
95,278948,33404,312367
96,236803,33958,270778
97,267811,33451,301278
98,422073,34023,456111
99,275459,33968,309442
100,329923,34290,364228
101,274130,33883,308030
102,260380,33532,293928
103,296088,34304,330406
104,256372,33939,290326
105,242707,33761,276485
106,286009,33832,319855
107,287655,33610,321279
108,259153,33616,292784
109,266374,33749,300137
110,283537,33734,317286
111,237147,33836,270999
112,252742,33541,286295
113,256989,33628,290632
114,254068,33833,287915
115,311373,34154,345542
116,254380,34257,288652
117,250529,34053,284596
118,246423,33661,280099
119,272711,36419,309145
120,297712,33781,331508
121,238919,33850,272784
122,253078,34056,287149
123,249120,33663,282796
124,257196,33989,291201
125,250471,33977,284466
126,260706,34273,294992
127,279207,33926,313146
128,235432,33940,269387
129,254705,33763,288483
130,279197,33955,313169
131,254475,33775,288266
132,235295,34230,269540
133,254213,33669,287898
134,252186,33423,285622
135,277719,33671,311405
