iteration,sign_init_ns,sign_ns,verify_ns,total_ns
0,3521,1583652,277049,1864222
1,3362,1588288,276872,1868522
2,3146,1588130,278352,1869628
3,4111,1974681,281831,2260623
4,5986,1967279,272166,2245431
5,5616,1933024,271583,2210223
6,4662,1676763,271470,1952895
7,3110,1629706,269938,1902754
8,4238,1678031,273050,1955319
9,3106,1522612,279436,1805154
10,2595,1477842,279265,1759702
11,3188,1520223,269671,1793082
12,3225,1663656,271446,1938327
13,3896,1715506,279252,1998654
14,3206,1611027,271574,1885807
15,2985,1527976,272786,1803747
16,3694,1536222,274947,1814863
17,2863,1506373,264749,1773985
18,2712,1464363,262173,1729248
19,2897,1696131,261300,1960328
20,3379,1619417,265192,1887988
21,2881,1620716,263627,1887224
22,3843,1894099,258659,2156601
23,4322,1760228,261826,2026376
24,4759,1745763,262257,2012779
25,3558,1984468,268136,2256162
26,4542,2120733,266764,2392039
27,5809,1996087,270522,2272418
28,6230,2172484,274769,2453483
29,5219,2331507,268488,2605214
30,5317,1970968,268051,2244336
31,4715,1960881,271392,2236988
32,5460,1759749,267811,2033020
33,4756,1748509,264004,2017269
34,3551,1879856,263326,2146733
35,3487,1922796,265799,2192082
36,3911,2080612,270537,2355060
37,5737,2075423,284959,2366119
38,6141,2447169,164673,2617983
39,6801,1796400,145603,1948804
40,4505,1441614,142840,1588959
41,2951,1325633,145939,1474523
42,3171,1204096,141149,1348416
43,3004,1308225,155498,1466727
44,3999,1817504,200282,2021785
45,6615,2164583,276493,2447691
46,5140,1735910,294726,2035776
47,8898,1914847,279660,2203405
48,4149,1796023,283576,2083748
49,3203,1803989,270710,2077902
50,4379,1911649,261428,2177456
51,4189,1999274,285237,2288700
52,7237,2304271,266989,2578497
53,5668,2209980,282937,2498585
54,6671,2126506,262631,2395808
55,5987,2255063,278340,2539390
56,6222,1865831,278819,2150872
57,4630,1885949,156556,2047135
58,4424,1665335,286484,1956243
59,5980,1777231,274853,2058064
60,5823,2476054,285592,2767469
61,5558,2467908,272517,2745983
62,4846,2264760,160324,2429930
63,4284,1903912,230492,2138688
64,5112,1951437,232914,2189463
65,3919,1830860,167742,2002521
66,7945,2419667,284301,2711913
67,7730,2546112,294228,2848070
68,7188,2668253,311406,2986847
69,6540,2354443,275241,2636224
70,6476,2366249,275965,2648690
71,6131,1690896,270351,1967378
72,4481,2080676,277459,2362616
73,6104,2370958,272925,2649987
74,6395,2329804,289199,2625398
75,6229,2102669,273872,2382770
76,6372,2430144,281997,2718513
77,5162,2267840,271022,2544024
78,4771,1956930,277018,2238719
79,7597,2480002,283297,2770896
80,8662,2829817,286070,3124549
81,6417,2208844,297619,2512880
82,5378,2184780,267681,2457839
83,5594,2227513,274878,2507985
84,5977,2486535,275335,2767847
85,5120,2348005,284144,2637269
86,8297,2009416,288107,2305820
87,6221,1843967,165050,2015238
88,5748,1873395,168830,2047973
89,4203,2289472,284230,2577905
90,7438,2551807,278608,2837853
91,8392,2620450,289890,2918732
92,9541,2724938,262803,2997282
